Plate,Sample_name,primer,NWFSCsampleID,dilution,techRep,SampleUID,PlateNo
315,MFU-52193-1000-d5-1_S46,MFU,52193-1000,d5,1,MFU-52193-1000-d5-1_S46_315,2.3
328,MV1-52193-1000-d5-1_S67,MV1,52193-1000,d5,1,MV1-52193-1000-d5-1_S67_328,2.3
315,MFU-52193-1007-d1-1_S64,MFU,52193-1007,d1,1,MFU-52193-1007-d1-1_S64_315,2.3
328,MV1-52193-1007-d1-1_S10,MV1,52193-1007,d1,1,MV1-52193-1007-d1-1_S10_328,2.3
316,MFU-52193-1014-d1-1_S8,MFU,52193-1014,d1,1,MFU-52193-1014-d1-1_S8_316,2.4
331,MV1-52193-1014-d10-1_S15,MV1,52193-1014,d10,1,MV1-52193-1014-d10-1_S15_331,2.4
316,MFU-52193-1016-d10-1_S79,MFU,52193-1016,d10,1,MFU-52193-1016-d10-1_S79_316,2.4
329,MV1-52193-1016-d10-1_S65,MV1,52193-1016,d10,1,MV1-52193-1016-d10-1_S65_329,2.4
313,MFU-52193-1024-d1-1_S36,MFU,52193-1024,d1,1,MFU-52193-1024-d1-1_S36_313,2.1
323,MV1-52193-1024-d1-1_S25,MV1,52193-1024,d1,1,MV1-52193-1024-d1-1_S25_323,2.1
324,MV1-52193-1024-d1-2_S36,MV1,52193-1024,d1,2,MV1-52193-1024-d1-2_S36_324,2.1
325,MV1-52193-1024-d1-3_S36,MV1,52193-1024,d1,3,MV1-52193-1024-d1-3_S36_325,2.1
316,MFU-52193-1026-d5-1_S5,MFU,52193-1026,d5,1,MFU-52193-1026-d5-1_S5_316,2.4
331,MV1-52193-1026-d20-1_S8,MV1,52193-1026,d20,1,MV1-52193-1026-d20-1_S8_331,2.4
314,MFU-52193-103-d1-1_S70,MFU,52193-103,d1,1,MFU-52193-103-d1-1_S70_314,2.2
326,MV1-52193-103-d1-1_S90,MV1,52193-103,d1,1,MV1-52193-103-d1-1_S90_326,2.2
327,MV1-52193-103-d1-2_S90,MV1,52193-103,d1,2,MV1-52193-103-d1-2_S90_327,2.2
314,MFU-52193-1036-d1-1_S1,MFU,52193-1036,d1,1,MFU-52193-1036-d1-1_S1_314,2.2
326,MV1-52193-1036-d1-1_S2,MV1,52193-1036,d1,1,MV1-52193-1036-d1-1_S2_326,2.2
327,MV1-52193-1036-d1-2_S2,MV1,52193-1036,d1,2,MV1-52193-1036-d1-2_S2_327,2.2
316,MFU-52193-1038-d5-1_S48,MFU,52193-1038,d5,1,MFU-52193-1038-d5-1_S48_316,2.4
329,MV1-52193-1038-d5-1_S76,MV1,52193-1038,d5,1,MV1-52193-1038-d5-1_S76_329,2.4
317,MFU-52193-1040-d1-1_S13,MFU,52193-1040,d1,1,MFU-52193-1040-d1-1_S13_317,2.5
330,MV1-52193-1040-d1-1_S14,MV1,52193-1040,d1,1,MV1-52193-1040-d1-1_S14_330,2.5
314,MFU-52193-1042-d1-1_S31,MFU,52193-1042,d1,1,MFU-52193-1042-d1-1_S31_314,2.2
326,MV1-52193-1042-d1-1_S38,MV1,52193-1042,d1,1,MV1-52193-1042-d1-1_S38_326,2.2
327,MV1-52193-1042-d1-2_S38,MV1,52193-1042,d1,2,MV1-52193-1042-d1-2_S38_327,2.2
313,MFU-52193-1044-d1-1_S77,MFU,52193-1044,d1,1,MFU-52193-1044-d1-1_S77_313,2.1
323,MV1-52193-1044-d1-1_S57,MV1,52193-1044,d1,1,MV1-52193-1044-d1-1_S57_323,2.1
324,MV1-52193-1044-d1-2_S77,MV1,52193-1044,d1,2,MV1-52193-1044-d1-2_S77_324,2.1
325,MV1-52193-1044-d1-3_S77,MV1,52193-1044,d1,3,MV1-52193-1044-d1-3_S77_325,2.1
313,MFU-52193-1048-d1-1_S38,MFU,52193-1048,d1,1,MFU-52193-1048-d1-1_S38_313,2.1
323,MV1-52193-1048-d1-1_S26,MV1,52193-1048,d1,1,MV1-52193-1048-d1-1_S26_323,2.1
324,MV1-52193-1048-d1-2_S38,MV1,52193-1048,d1,2,MV1-52193-1048-d1-2_S38_324,2.1
325,MV1-52193-1048-d1-3_S38,MV1,52193-1048,d1,3,MV1-52193-1048-d1-3_S38_325,2.1
317,MFU-52193-1051-d5-1_S23,MFU,52193-1051,d5,1,MFU-52193-1051-d5-1_S23_317,2.5
330,MV1-52193-1051-d5-1_S26,MV1,52193-1051,d5,1,MV1-52193-1051-d5-1_S26_330,2.5
317,MFU-52193-1052-d1-1_S53,MFU,52193-1052,d1,1,MFU-52193-1052-d1-1_S53_317,2.5
330,MV1-52193-1052-d1-1_S73,MV1,52193-1052,d1,1,MV1-52193-1052-d1-1_S73_330,2.5
314,MFU-52193-1054-d1-1_S41,MFU,52193-1054,d1,1,MFU-52193-1054-d1-1_S41_314,2.2
326,MV1-52193-1054-d1-1_S51,MV1,52193-1054,d1,1,MV1-52193-1054-d1-1_S51_326,2.2
327,MV1-52193-1054-d1-2_S51,MV1,52193-1054,d1,2,MV1-52193-1054-d1-2_S51_327,2.2
314,MFU-52193-1056-d1-1_S32,MFU,52193-1056,d1,1,MFU-52193-1056-d1-1_S32_314,2.2
326,MV1-52193-1056-d1-1_S41,MV1,52193-1056,d1,1,MV1-52193-1056-d1-1_S41_326,2.2
327,MV1-52193-1056-d1-2_S41,MV1,52193-1056,d1,2,MV1-52193-1056-d1-2_S41_327,2.2
314,MFU-52193-1060-d1-1_S7,MFU,52193-1060,d1,1,MFU-52193-1060-d1-1_S7_314,2.2
326,MV1-52193-1060-d1-1_S8,MV1,52193-1060,d1,1,MV1-52193-1060-d1-1_S8_326,2.2
327,MV1-52193-1060-d1-2_S8,MV1,52193-1060,d1,2,MV1-52193-1060-d1-2_S8_327,2.2
314,MFU-52193-1062-d10-1_S85,MFU,52193-1062,d10,1,MFU-52193-1062-d10-1_S85_314,2.2
327,MV1-52193-1062-d100-1_S97,MV1,52193-1062,d100,1,MV1-52193-1062-d100-1_S97_327,2.2
327,MV1-52193-1062-d100-2_S105,MV1,52193-1062,d100,2,MV1-52193-1062-d100-2_S105_327,2.2
317,MFU-52193-1064-d1-1_S39,MFU,52193-1064,d1,1,MFU-52193-1064-d1-1_S39_317,2.5
330,MV1-52193-1064-d1-1_S54,MV1,52193-1064,d1,1,MV1-52193-1064-d1-1_S54_330,2.5
317,MFU-52193-1066-d1-1_S44,MFU,52193-1066,d1,1,MFU-52193-1066-d1-1_S44_317,2.5
